[13:37:06] [ServerMain/INFO]: Environment: Environment[sessionHost=https://sessionserver.mojang.com, servicesHost=https://api.minecraftservices.com, name=PROD]
[13:37:06] [ServerMain/INFO]: Loaded 1290 recipes
[13:37:06] [ServerMain/INFO]: Loaded 1399 advancements
[13:37:07] [Server thread/INFO]: Starting minecraft server version 1.21.1
[13:37:07] [Server thread/INFO]: Loading properties
[13:37:07] [Server thread/INFO]: Default game type: SURVIVAL
[13:37:07] [Server thread/INFO]: Generating keypair
[13:37:07] [Server thread/INFO]: Starting Minecraft server on *:25565
[13:37:07] [Server thread/INFO]: Using epoll channel type
[13:37:07] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[13:37:07] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[13:37:07] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[13:37:07] [IO-Worker-4/ERROR]: Chunk [3, -28] has invalid chunk stream version 42
[13:37:07] [IO-Worker-3/ERROR]: Chunk [3, -27] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [3, -34] has invalid chunk stream version 42
[13:37:07] [IO-Worker-3/ERROR]: Chunk [3, -33] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [3, -32] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [4, -34] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [5, -34] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [6, -34] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [7, -34] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [8, -34] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [9, -34] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [4, -26] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [5, -26] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [6, -26] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [7, -26] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [8, -26] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [9, -26] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [10, -26] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [11, -28] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [11, -27] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [11, -26] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [3, -26] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [10, -34] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [11, -34] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-4, -41] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-4, -40] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-4, -39] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-4, -38] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-4, -37] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-4, -36] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-4, -35] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-4, -34] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-4, -33] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-4, -32] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-4, -31] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-4, -30] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-4, -29] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-4, -28] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-4, -27] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-4, -26] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-4, -25] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-4, -24] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-4, -23] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-4, -22] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-4, -21] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-4, -20] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-4, -19] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-3, -41] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-3, -40] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-3, -39] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-3, -38] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-3, -37] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-3, -36] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-3, -35] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-3, -34] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-3, -33] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-3, -32] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-3, -31] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-3, -30] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-3, -29] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-3, -28] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-3, -27] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-3, -26] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-3, -25] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-3, -24] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-3, -23] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-3, -22] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-3, -21] has invalid chunk stream version 42
[13:37:07] [IO-Worker-3/ERROR]: Chunk [-3, -20] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-3, -19] has invalid chunk stream version 42
[13:37:07] [IO-Worker-3/ERROR]: Chunk [-2, -41] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-2, -40] has invalid chunk stream version 42
[13:37:07] [IO-Worker-3/ERROR]: Chunk [-2, -39] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-2, -38] has invalid chunk stream version 42
[13:37:07] [IO-Worker-3/ERROR]: Chunk [-2, -37] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-2, -36] has invalid chunk stream version 42
[13:37:07] [IO-Worker-3/ERROR]: Chunk [-2, -35] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-2, -34] has invalid chunk stream version 42
[13:37:07] [IO-Worker-3/ERROR]: Chunk [-2, -33] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-2, -32] has invalid chunk stream version 42
[13:37:07] [IO-Worker-3/ERROR]: Chunk [-2, -31] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-2, -30] has invalid chunk stream version 42
[13:37:07] [IO-Worker-3/ERROR]: Chunk [-2, -29] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-2, -28] has invalid chunk stream version 42
[13:37:07] [IO-Worker-3/ERROR]: Chunk [-2, -27] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-2, -26] has invalid chunk stream version 42
[13:37:07] [IO-Worker-3/ERROR]: Chunk [-2, -25] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-2, -24] has invalid chunk stream version 42
[13:37:07] [IO-Worker-3/ERROR]: Chunk [-2, -23] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-2, -22] has invalid chunk stream version 42
[13:37:07] [IO-Worker-3/ERROR]: Chunk [-2, -21] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-2, -20] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-2, -19] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-1, -41] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-1, -40] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-1, -39] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-1, -38] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-1, -37] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-1, -36] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-1, -35] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-1, -34] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-1, -33] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-1, -32] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-1, -31] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-1, -30] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-1, -29] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-1, -28] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-1, -27] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-1, -26] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-1, -25] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-1, -24] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-1, -23] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-1, -22] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-1, -21] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-1, -20] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-1, -19] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [0, -41] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [0, -40] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [0, -39] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [0, -38] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [0, -37] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [0, -36] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [0, -35] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [0, -34] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [0, -33] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [0, -32] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [0, -31] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [0, -30] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [0, -29] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [0, -28] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [0, -27] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [0, -26] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [0, -25] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [0, -24] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [0, -23] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [0, -22] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [0, -21] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [0, -20] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [0, -19] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [1, -41] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [1, -40] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [1, -39] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [1, -38] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [1, -37] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [1, -36] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [1, -35] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [1, -34] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [1, -33] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [1, -32] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [1, -31] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [1, -30] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [1, -29] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [1, -28] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [1, -27] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [1, -26] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [1, -25] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [1, -24] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [1, -23] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [1, -22] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [1, -21] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [1, -20] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [1, -19] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [2, -41] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [2, -40] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [2, -39] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [2, -38] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [2, -37] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [2, -36] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [2, -35] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [2, -34] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [2, -33] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [2, -32] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [2, -31] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [2, -30] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [2, -29] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [2, -28] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [2, -27] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [2, -26] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [2, -25] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [2, -24] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [2, -23] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [2, -22] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [2, -21] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [2, -20] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [2, -19] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [3, -41] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [3, -40] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [3, -39] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [3, -38] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [3, -37] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [3, -36] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [3, -35] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [3, -25] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [3, -24] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [3, -23] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [3, -22] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [3, -21] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [3, -20] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [3, -19] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [4, -41] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [4, -40] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [4, -39] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [4, -38] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [4, -37] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [4, -36] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [4, -35] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [4, -25] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [4, -24] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [4, -23] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [4, -22] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [4, -21] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [4, -20] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [4, -19] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [5, -41] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [5, -40] has invalid chunk stream version 42
